,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
500,Loja/Salão,Madureira,0,0,0,180,9000.0,0.0,1.0,50.0,Comercial
501,Galpão/Depósito/Armazém,Barra da Tijuca,0,0,0,500,12000.0,0.0,0.0,24.0,Comercial
502,Loja Shopping/ Ct Comercial,Barra da Tijuca,0,2,0,77,100.0,3600.0,1300.0,1.3,Comercial
503,Conjunto Comercial/Sala,Barra da Tijuca,0,0,0,60,1800.0,1320.0,460.0,30.0,Comercial
504,Conjunto Comercial/Sala,Glória,0,1,0,32,1100.0,505.0,0.0,34.38,Comercial
505,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,36,1000.0,920.0,108.0,27.78,Comercial
506,Conjunto Comercial/Sala,Botafogo,0,14,0,755,112500.0,25451.0,4069.0,149.01,Comercial
507,Loja/Salão,Tijuca,0,0,0,358,12000.0,0.0,0.0,33.52,Comercial
508,Loja/Salão,Penha,0,1,0,90,2500.0,0.0,0.0,27.78,Comercial
509,Loja Shopping/ Ct Comercial,Flamengo,0,0,0,54,4500.0,1331.0,264.0,83.33,Comercial
510,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,21,1000.0,594.0,115.0,47.62,Comercial
511,Conjunto Comercial/Sala,Centro,0,0,0,76,2000.0,718.0,0.0,26.32,Comercial
512,Conjunto Comercial/Sala,Centro,0,0,0,138,3750.0,2407.0,560.0,27.17,Comercial
513,Casa Comercial,Ipanema,0,1,0,200,18000.0,5500.0,1550.0,90.0,Comercial
514,Loja/Salão,Penha,0,0,0,396,5500.0,0.0,0.0,13.89,Comercial
515,Loja Shopping/ Ct Comercial,Copacabana,0,0,0,45,2500.0,576.0,454.0,55.56,Comercial
516,Conjunto Comercial/Sala,Barra da Tijuca,0,19,0,594,59500.0,13289.0,0.0,100.17,Comercial
517,Conjunto Comercial/Sala,Barra da Tijuca,0,2,0,54,2000.0,1400.0,0.0,37.04,Comercial
518,Conjunto Comercial/Sala,Vila da Penha,0,0,0,24,450.0,166.0,0.0,18.75,Comercial
519,Conjunto Comercial/Sala,Centro,0,1,0,30,850.0,490.0,0.0,28.33,Comercial
520,Conjunto Comercial/Sala,Barra da Tijuca,0,6,0,295,18000.0,6000.0,1200.0,61.02,Comercial
521,Conjunto Comercial/Sala,Centro,1,0,0,325,10000.0,0.0,10828.0,30.77,Comercial
522,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,26,1000.0,333.0,112.0,38.46,Comercial
523,Conjunto Comercial/Sala,Jacarepaguá,0,1,0,28,1000.0,582.0,105.0,35.71,Comercial
